code,lat,lon,date,method,region,title,nearest_facility,facility_distance_km,nearest_anomaly,anomaly_distance_km,url
+006+213,27,53.25,2017-08,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb +006+213,Mecca,1494.0,Kursk Magnetic Anomaly,3047.3,https://forgottenlanguages-full.forgottenlanguages.org/2017/08/cassini-diskus-milorb-006213.html
-007+213,14,53.25,2017-08,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb -007+213,Mecca,1642.7,Bangui Anomaly,3987.4,https://forgottenlanguages-full.forgottenlanguages.org/2017/08/cassini-diskus-milorb-007213.html
-022-717,-1,-179.25,2017-08,MilOrb-small,Ocean/Other,Cassini Diskus - MilOrb -022-717,Edwards AFB,7504.3,Bermuda Triangle,11889.8,https://forgottenlanguages-full.forgottenlanguages.org/2017/08/cassini-diskus-milorb-022-717.html
-123+210,21.0,-12.3,2017-08,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb -123+210,Mecca,5377.7,Bangui Anomaly,3721.2,https://forgottenlanguages-full.forgottenlanguages.org/2017/08/cassini-diskus-milorb-123210.html
-005+231,16,57.75,2017-09,MilOrb-small,Ocean/Other,Cassini Diskus - MilOrb -005+231,Mecca,1979.8,Kursk Magnetic Anomaly,4355.7,https://forgottenlanguages-full.forgottenlanguages.org/2017/09/cassini-diskus-milorb-005231.html
+428-279,-27.9,42.8,2017-09,MilOrb-large,Southern Africa,Cassini Diskus - MilOrb +428-279 (LEO),Mecca,5494.5,SAA African Lobe,2485.6,https://forgottenlanguages-full.forgottenlanguages.org/2017/09/cassini-diskus-milorb-428-279-leo.html
+506-321,-32.1,50.6,2017-09,MilOrb-large,Southern Africa,Cassini Diskus - MilOrb +506-321 (LEO),Mecca,6061.6,SAA African Lobe,3267.0,https://forgottenlanguages-full.forgottenlanguages.org/2017/09/cassini-diskus-milorb-506-321-leo.html
-305+222,22.2,-30.5,2017-10,MilOrb-large,Ocean/Other,Cassini Diskus - MilOrb -305+222,Pantex Plant,6936.9,Bermuda Triangle,4123.5,https://forgottenlanguages-full.forgottenlanguages.org/2017/10/cassini-diskus-milorb-305222.html
+221+107,10.7,22.1,2018-04,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb +221+107,Mecca,2235.5,Bangui Anomaly,778.1,https://forgottenlanguages-full.forgottenlanguages.org/2018/04/cassini-diskus-milorb-221107.html
-332+226,22.6,-33.2,2018-04,MilOrb-large,Ocean/Other,Cassini Diskus - MilOrb -332+226,Pantex Plant,6672.8,Bermuda Triangle,3842.8,https://forgottenlanguages-full.forgottenlanguages.org/2018/04/cassini-diskus-milorb-332226.html
+004-222,25,-55.5,2018-04,MilOrb-small,Ocean/Other,Cassini Diskus - MilOrb+004-222,Pantex Plant,4533.0,Bermuda Triangle,1561.2,https://forgottenlanguages-full.forgottenlanguages.org/2018/04/cassini-diskus-milorb004-222.html
+133+005,0.5,13.3,2018-04,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb+133+005,Mecca,3700.5,Bangui Anomaly,723.0,https://forgottenlanguages-full.forgottenlanguages.org/2018/04/cassini-diskus-milorb133005.html
