code,ra_hours,dec_degrees,method,post_date,title,url
+003-261,0.05,-26.1,Celestial,2016-04,Cassini Diskus - MilDSP +003-261,https://forgottenlanguages-full.forgottenlanguages.org/2016/04/cassini-diskus-mildsp-003-261.html
+103-202,1.05,-20.2,Celestial,2016-04,Cassini Diskus - MilDSP +103-202,https://forgottenlanguages-full.forgottenlanguages.org/2016/04/cassini-diskus-mildsp-103-202.html
+005-438,0.0833,-43.8,Celestial,2016-05,Cassini Diskus - MilDSP +005-438,https://forgottenlanguages-full.forgottenlanguages.org/2016/05/cassini-diskus-mildsp-005-438.html
+005+407,0.0833,40.7,Celestial,2016-05,Cassini Diskus - MilDSP +005+407,https://forgottenlanguages-full.forgottenlanguages.org/2016/05/cassini-diskus-mildsp-005407.html
